ID,Transaction Time,Transaction Type,Channel,Is 3DS,Is Token,Decision,Decline Reason Code,Issuer Name,Issuer Country,Issuer Region,Funding source,Acquirer Name,Acquirer Country,Acquirer Region,Jurisdiction,Is Dispute,Is Fraud,Dispute Type,Amount,Industry Segment
T89784025544295,2024-02-20T11:02:49.000Z,Chip,CP,No,No,Approved,Approved,BPCE,FRANCE,EUROPE,Credit ,BOURSORAMA BANQUE ,FRANCE,EUROPE,Domestic,0,0,No Dispute,196.9757977,Government services
T94028747687247,2024-02-18T10:42:19.000Z,Other CNP,CNP,No,No,Approved,Approved,"BANK OF AMERICA, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Credit ,NAVY FEDERAL CREDIT UNION ,UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,340.852463,Contracted services
T84800389951860,2024-04-30T11:10:17.000Z,ECI-7,CNP,No,No,Approved,Approved,HSBC UK BANK PLC ,UNITED KINGDOM,EUROPE,Credit ,BARCLAYS BANK UK PLC ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,192.1340491,Clothing stores
T88418230200974,2024-01-08T19:01:35.000Z,Contactless,CP,No,Yes,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Credit ,CHAINA MERCHANTS BANK,CHAINA MAINLAND,APAC,Cross Border,0,0,No Dispute,100.5815894,Contracted services
T19060182064275,2024-05-14T21:03:51.000Z,Chip,CP,No,No,Approved,Approved,BANCO BRADESCO S.A. ,BRAZIL,LAC,Credit ,SUTTON BANK ,UNITED STATES OF AMERICA,USA,Cross Border,0,0,No Dispute,424.3327529,Utility services
T51145812474888,2024-03-21T14:21:58.000Z,ECI-7,CNP,No,No,Approved,Approved,BANCO DE CREDITO E INVERSIONES ,CHILE,LAC,Credit ,BANCO BBVA ARGENTINA S.A ,ARGENTINA,LAC,Domstic,0,0,No Dispute,978.1457648,Clothing stores
T24105191199203,2024-06-02T06:41:58.000Z,Chip,CP,No,No,Approved,Approved,U.S. BANK NATIONAL ASSOCIATION ,UNITED STATES OF AMERICA,USA,Credit ,"M&T BANK CITIZENS BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,61.90278468,Business services
T75268294457697,2024-04-29T16:32:36.000Z,ECI-7,CNP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Credit ,REGIONS BANK ,UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,415.2570448,Contracted services
T85813147931459,2024-05-31T19:33:55.000Z,ECI-7,CNP,No,No,Approved,Approved,BANK OF SCOTLAND PLC ,UNITED KINGDOM,EUROPE,Debit ,LLOYDS BANK PLC H,UNITED KINGDOM,EUROPE,Domstic,0,0,No Dispute,198.1726756,Professional services
T41062461679530,2024-04-05T10:00:48.000Z,ECI-7,CNP,No,No,Approved,Approved,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND ,SWEDEN,EUROPE,Credit ,"ALLIED IRISH BANKS, P.L.C. ",REPUBLIC OF IRELAND,EUROPE,Domstic,0,0,No Dispute,21.58748422,Miscellaneous stores
T4634314835496,2024-02-11T23:26:22.000Z,Contactless,CP,No,Yes,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Debit ,"WELLS FARGO BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,353.1998295,Retail outlet services
T91868526836451,2024-04-12T17:31:53.000Z,Chip,CP,No,No,Approved,Approved,REVOLUT LIMITED ,UNITED KINGDOM,EUROPE,Credit ,HSBC UK BANK PLC ,UNITED KINGDOM,EUROPE,Domstic,0,0,No Dispute,98.90472855,Government services
T26759564440769,2024-03-29T15:04:51.000Z,Other CNP,CNP,No,No,Approved,Approved,SUTTON BANK ,UNITED STATES OF AMERICA,USA,Credit ,STATE EMPLOYEES CREDIT UNION ,UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,156.5474077,Contracted services
T27702409391270,2024-05-17T14:14:43.000Z,Recurring,CNP,No,No,Approved,Approved,USAA FEDERAL SAVINGS BANK  ,UNITED STATES OF AMERICA,USA,Credit ,"WELLS FARGO BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,540.1166917,Contracted services
T49154782711652,2024-06-13T21:39:52.000Z,ECI-7,CNP,No,No,Approved,Approved,BARCLAYS BANK UK PLC ,UNITED KINGDOM,EUROPE,Debit ,LLOYDS BANK PLC H,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,363.4701544,Business services
T10864312485803,2024-05-28T08:46:24.000Z,ECI-7,CNP,No,No,Approved,Approved,NAVY FEDERAL CREDIT UNION ,UNITED STATES OF AMERICA,USA,Debit ,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,39.05604199,Retail outlet services
T68609070894247,2024-02-16T06:17:33.000Z,ECI-7,CNP,No,No,Approved,Approved,BANCO DE LA PROVINCIA DE BUENOS AIRES ,ARGENTINA,LAC,Credit ,BANCO BRADESCO S.A. ,BRAZIL,LAC,Domestic,1,1,Fraud Dispute,305.9469785,Professional services
T81282120949059,2024-02-13T16:16:57.000Z,Contactless,CP,No,Yes,Declined,"Incorrect CVV, Expiry date ",JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Debit ,"CITIBANK, N.A. - COSTCO ",UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,222.0922682,Contracted services
T46350301480792,2024-04-19T01:37:51.000Z,ECI-7,CNP,No,No,Approved,Approved,"CAPITAL ONE, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Credit ,"CITIBANK, N.A. - COSTCO ",UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,262.6664721,Business services
T32544077129837,2024-03-15T16:10:49.000Z,Contactless,CP,No,Yes,Approved,Approved,"BANK OF AMERICA, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,"STRIDE BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,512.2615191,Contracted services
T3785704847617,2024-02-17T09:59:17.000Z,Other CNP,CNP,No,No,Approved,Approved,ROYAL BANK OF CANADA ,CANADA,CANADA,Debit ,EQUITABLE BANK ,CANADA,CANADA,Domestic,0,0,No Dispute,713.5648528,Contracted services
T54947201590767,2024-03-05T12:01:37.000Z,Contactless,CP,No,Yes,Approved,Approved,LLOYDS BANK PLC H,UNITED KINGDOM,EUROPE,Debit ,BANK OF SCOTLAND PLC ,UNITED KINGDOM,EUROPE,Domstic,0,0,No Dispute,210.5610085,Clothing stores
T32724629971992,2024-05-29T00:44:34.000Z,ECI-7,CNP,No,No,Approved,Approved,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED ,AUSTRALIA,APAC,Credit ,NATIONAL AUSTRALIA BANK LIMITED ,AUSTRALIA,APAC,Domestic,0,0,No Dispute,327.0656828,Utility services
T11205878484216,2024-02-22T18:27:32.000Z,ECI-7,CNP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Credit ,U.S. BANK NATIONAL ASSOCIATION ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,270.9361413,Business services
T82998262803860,2024-04-05T21:44:06.000Z,ECI-7,CNP,No,No,Approved,Approved,"WELLS FARGO BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Prepaid,TRIUST BANK ,UNITED STATES OF AMERICA,USA,Domestic,1,0,Non-Fraud Dispute,178.4174215,Utility services
T39824907556028,2024-03-02T17:11:01.000Z,ECI-7,CNP,No,No,Approved,Approved,"BANK OF AMERICA, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,STATE EMPLOYEES CREDIT UNION ,UNITED STATES OF AMERICA,USA,Domstic,1,1,Fraud Dispute,122.8708249,Agricultural services
T13767195204161,2024-01-18T11:35:41.000Z,Chip,CP,No,No,Approved,Approved,NAVY FEDERAL CREDIT UNION ,UNITED STATES OF AMERICA,USA,Prepaid,"CITIBANK, N.A. - COSTCO ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,33.45765267,Utility services
T97967502942764,2024-03-31T17:15:06.000Z,Chip,CP,No,No,Approved,Approved,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED ,AUSTRALIA,APAC,Debit ,U.S. BANK NATIONAL ASSOCIATION ,UNITED STATES OF AMERICA,USA,Cross Border,0,0,No Dispute,4.526320488,Utility services
T72030174921533,2024-01-11T22:17:36.000Z,Chip,CP,No,No,Declined,Do not honor,REVOLUT LIMITED ,UNITED KINGDOM,EUROPE,Debit ,TSB BANK PLC ,UNITED KINGDOM,EUROPE,Domstic,0,0,No Dispute,269.602858,Contracted services
T54428163554248,2024-05-18T12:35:47.000Z,Recurring,CNP,No,No,Approved,Approved,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED ,AUSTRALIA,APAC,Debit ,ABS BANK,NEW ZEALAND,APAC,Domestic,0,0,No Dispute,459.8964212,Contracted services
T51655490098735,2024-04-11T04:21:10.000Z,ECI-7,CNP,No,No,Approved,Approved,REGIONS BANK ,UNITED STATES OF AMERICA,USA,Credit ,"CAPITAL ONE, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,619.1508534,Contracted services
T38772089711747,2024-01-01T05:50:37.000Z,Contactless,CP,No,Yes,Approved,Approved,CREDIT SAISON CO. LTD,JAPAN,APAC,Debit ,MALAYAN BANKING BERHAD,MALAYSIA,APAC,Domestic,0,0,No Dispute,297.7509468,Clothing stores
T32432078502851,2024-05-12T01:02:36.000Z,ECI-7,CNP,No,No,Approved,Approved,"CAPITAL ONE, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Credit ,"STRIDE BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,520.7065784,Utility services
T82502254185687,2024-02-02T15:13:54.000Z,Recurring,CNP,No,No,Approved,Approved,BOURSORAMA BANQUE ,FRANCE,EUROPE,Debit ,HSBC UK BANK PLC ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,285.671616,Clothing stores
T77535581025382,2024-02-16T00:21:48.000Z,Chip,CP,No,No,Approved,Approved,BANK OF SCOTLAND PLC ,UNITED KINGDOM,EUROPE,Credit ,HSBC UK BANK PLC ,UNITED KINGDOM,EUROPE,Domstic,0,0,No Dispute,67.21857947,Clothing stores
T96508631607507,2024-04-09T08:31:46.000Z,Recurring,CNP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Credit ,U.S. BANK NATIONAL ASSOCIATION ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,408.8435848,Contracted services
T9774527016869,2024-02-13T03:26:55.000Z,Contactless,CP,No,Yes,Approved,Approved,BANCO DEL ESTADO DE CHILE ,CHILE,LAC,Debit ,BBVA MEXICO S.A. ,MEXICO,LAC,Domstic,0,0,No Dispute,291.6062648,Business services
T57236483764514,2024-04-15T11:08:54.000Z,ECI-7,CNP,No,No,Approved,Approved,SBI CARDS AND PAYMENT SERVICES LIMITED ,INDIA,APAC,Credit ,SUTTON BANK ,UNITED STATES OF AMERICA,USA,Cross Border,0,0,No Dispute,95.91815179,Business services
T53275784250305,2024-01-08T23:51:11.000Z,Contactless,CP,No,Yes,Approved,Approved,OP COOPERATIVE ,FINLAND,EUROPE,Debit ,NATIONWIDE BUILDING SOCIETY ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,724.7257004,Utility services
T82154610660574,2024-04-30T05:39:00.000Z,ECI-7,CNP,No,No,Approved,Approved,BOURSORAMA BANQUE ,FRANCE,EUROPE,Credit ,NAVY FEDERAL CREDIT UNION ,UNITED STATES OF AMERICA,USA,Cross Border,0,0,No Dispute,12.2584271,Contracted services
T85709648005225,2024-06-11T06:58:26.000Z,Chip,CP,No,No,Approved,Approved,ROYAL BANK OF CANADA ,CANADA,CANADA,Credit ,LA FEDERATION DES CAISSES DESJARDINS DU QUEBEC,CANADA,CANADA,Domstic,0,1,Fraud Dispute,58.34175116,Business services
T38755545171050,2024-01-14T18:41:30.000Z,Contactless,CP,No,Yes,Approved,Approved,SUMITOMO MITSUI CARD COMPANY LIMITED ,JAPAN,APAC,Debit ,INDUSIND BANK LIMITED,INDIA,APAC,Domstic,0,1,Fraud Dispute,123.8786869,Contracted services
T96132383176226,2024-05-21T13:18:56.000Z,Chip,CP,No,No,Approved,Approved,"CITIBANK, N.A. - COSTCO ",UNITED STATES OF AMERICA,USA,Credit ,BANCO BRADESCO S.A. ,BRAZIL,LAC,Cross Border,0,0,No Dispute,148.1396998,Clothing stores
T37481051840909,2024-05-29T12:41:48.000Z,Other CNP,CNP,No,No,Approved,Approved,"WELLS FARGO BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,SUTTON BANK ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,197.314475,Miscellaneous stores
T95003975913076,2024-06-09T06:07:27.000Z,Chip,CP,No,No,Approved,Approved,BANCO BRADESCO S.A. ,BRAZIL,LAC,Credit ,INTERBANK - BANCO INTERNACIONAL DEL PERU ,PERU,LAC,Domstic,0,0,No Dispute,394.2166128,Retail outlet services
T74755491268541,2024-03-11T08:16:28.000Z,Other CNP,CNP,No,No,Approved,Approved,REVOLUT LIMITED ,UNITED KINGDOM,EUROPE,Credit ,ROYAL BANK OF CANADA ,CANADA,CANADA,Cross Border,0,0,No Dispute,217.2724093,Retail outlet services
T46943564237984,2024-03-12T20:33:15.000Z,ECI-7,CNP,No,No,Approved,Approved,ING BANK N.V. ,NETHERLANDS,EUROPE,Credit ,HSBC UK BANK PLC ,UNITED KINGDOM,EUROPE,Domstic,1,1,Fraud Dispute,72.85016979,Utility services
T41487467533466,2024-02-25T02:52:21.000Z,ECI-7,CNP,No,No,Approved,Approved,"ALLIED IRISH BANKS, P.L.C. ",REPUBLIC OF IRELAND,EUROPE,Credit ,BOURSORAMA BANQUE ,FRANCE,EUROPE,Domestic,0,0,No Dispute,52.07841624,Utility services
T79602278741877,2024-03-18T05:47:18.000Z,ECI-7,CNP,No,No,Declined,Not Sufficient Fund,"TD BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Credit ,ANZ BANK NEW ZEALAND LIMITED ,NEW ZEALAND,APAC,Cross Border,0,0,No Dispute,244.0725981,Utility services
T39238185599577,2024-06-01T06:57:06.000Z,Chip,CP,No,No,Approved,Approved,SUTTON BANK ,UNITED STATES OF AMERICA,USA,Debit ,STATE EMPLOYEES CREDIT UNION ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,1.782661996,Contracted services
T37912026904179,2024-02-26T04:03:21.000Z,ECI-7,CNP,No,No,Approved,Approved,"CITIBANK, N.A. - COSTCO ",UNITED STATES OF AMERICA,USA,Debit ,"STRIDE BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,149.4369362,Contracted services
T54692139040274,2024-02-23T05:38:51.000Z,Contactless,CP,No,Yes,Approved,Approved,BOURSORAMA BANQUE ,FRANCE,EUROPE,Debit ,THE TORONTO-DOMINION BANK MBNA ,CANADA,CANADA,Cross Border,0,0,No Dispute,147.7016658,Contracted services
T29593069967653,2024-02-29T09:35:24.000Z,Contactless,CP,No,Yes,Approved,Approved,BANK OF SCOTLAND PLC ,UNITED KINGDOM,EUROPE,Credit ,BPCE,FRANCE,EUROPE,Domstic,0,0,No Dispute,164.6303829,Contracted services
T63723689121477,2024-01-01T07:25:00.000Z,Recurring,CNP,No,No,Approved,Approved,CANADIAN IMPERIAL BANK OF COMMERCE,CANADA,CANADA,Debit ,THE BANK OF NOVA SCOTIA,CANADA,CANADA,Domstic,0,0,No Dispute,261.8644838,Utility services
T991844999647,2024-01-27T09:39:15.000Z,ECI-7,CNP,No,No,Approved,Approved,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED ,AUSTRALIA,APAC,Debit ,ST. GEORGE BANK LIMITED ,AUSTRALIA,APAC,Domstic,0,0,No Dispute,206.0648963,Contracted services
T84659119760439,2024-04-18T20:05:28.000Z,ECI-7,CNP,No,No,Approved,Approved,BARCLAYS BANK UK PLC ,UNITED KINGDOM,EUROPE,Debit ,TSB BANK PLC ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,115.9017343,Clothing stores
T57777915137510,2024-04-02T21:22:01.000Z,Chip,CP,No,No,Approved,Approved,BPCE,FRANCE,EUROPE,Debit ,NATIONWIDE BUILDING SOCIETY ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,64.13672191,Contracted services
T96523072295658,2024-03-21T03:18:54.000Z,Chip,CP,No,No,Approved,Approved,BANCO SANTANDER RIO S.A. ,ARGENTINA,LAC,Credit ,BANCO SANTANDER RIO S.A. ,ARGENTINA,LAC,Domstic,0,0,No Dispute,308.7372606,Clothing stores
T41561597106076,2024-03-13T02:17:27.000Z,ECI-7,CNP,No,No,Approved,Approved,NATIONWIDE BUILDING SOCIETY ,UNITED KINGDOM,EUROPE,Credit ,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND ,SWEDEN,EUROPE,Domstic,1,0,Non-Fraud Dispute,290.0365621,Contracted services
T61284972057388,2024-05-11T03:49:30.000Z,Chip,CP,No,No,Approved,Approved,REVOLUT LIMITED ,UNITED KINGDOM,EUROPE,Credit ,REVOLUT LIMITED ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,66.9790526,Contracted services
T56292449922293,2024-05-11T03:50:16.000Z,Chip,CP,No,No,Approved,Approved,ING BANK N.V. ,NETHERLANDS,EUROPE,Credit ,OP COOPERATIVE ,FINLAND,EUROPE,Domestic,0,0,No Dispute,484.90351,Business services
T1369223893278,2024-03-29T00:01:11.000Z,Chip,CP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Debit ,"CAPITAL ONE, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,308.2115041,Retail outlet services
T39824011626715,2024-04-04T19:42:42.000Z,ECI-7,CNP,No,No,Approved,Approved,DBS BANK LTD,SINGAPORE,APAC,Debit ,ABS BANK,NEW ZEALAND,APAC,Domestic,0,0,No Dispute,33.35130218,Contracted services
T77273971629065,2024-02-01T11:37:05.000Z,Chip,CP,No,No,Approved,Approved,STATE EMPLOYEES CREDIT UNION ,UNITED STATES OF AMERICA,USA,Credit ,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,64.47453558,Utility services
T4376754944431,2024-06-13T18:57:03.000Z,ECI-7,CNP,No,No,Approved,Approved,BANCO BRADESCO S.A. ,BRAZIL,LAC,Credit ,BANCO DE CREDITO E INVERSIONES ,CHILE,LAC,Domestic,0,0,No Dispute,28.22098041,Contracted services
T24575809901815,2024-06-22T02:55:24.000Z,ECI-7,CNP,No,No,Approved,Approved,CANADIAN IMPERIAL BANK OF COMMERCE,CANADA,CANADA,Credit ,LA FEDERATION DES CAISSES DESJARDINS DU QUEBEC,CANADA,CANADA,Domestic,1,0,Non-Fraud Dispute,326.395816,Contracted services
T91897974642024,2024-06-25T08:14:18.000Z,Other CNP,CNP,No,No,Approved,Approved,TSB BANK PLC ,UNITED KINGDOM,EUROPE,Prepaid,NORDEA BANK ABP ,REPUBLIC OF IRELAND,EUROPE,Domestic,0,0,No Dispute,285.2967824,Business services
T18799616498098,2024-01-25T04:52:12.000Z,Contactless,CP,No,Yes,Approved,Approved,"BANK OF AMERICA, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Credit ,SUTTON BANK ,UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,80.6127376,Clothing stores
T29029486139795,2024-01-23T03:39:25.000Z,Recurring,CNP,No,No,Approved,Approved,NAVY FEDERAL CREDIT UNION ,UNITED STATES OF AMERICA,USA,Credit ,"CAPITAL ONE, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,274.3808788,Business services
