InvoiceID,InvoiceDate,BusinessUnit,Region,Vendor,VendorPerformanceScore,ContractType,PaymentTermsDays,Quantity,UnitCost,BudgetAmount,ActualInvoiceAmount,VarianceAmount,DaysLate,InvoiceStatus
INV00001,2025-06-24,BU_Fabrication,North America,Vendor_18,79.7,Fixed Price,15,42,12.45,542.6,552.31,9.71,0,Paid
INV00002,2025-05-07,BU_Fabrication,APAC,Vendor_03,84.7,Fixed Price,30,38,15.48,604.05,640.0,35.95,0,Paid
INV00003,2024-08-14,BU_IT,North America,Vendor_42,77.6,Time & Materials,30,47,27.64,1301.9,1362.7,60.79,0,Paid
INV00004,2024-12-21,BU_Fabrication,APAC,Vendor_11,68.0,Time & Materials,30,50,49.58,2546.25,2955.59,409.34,4,Pending
INV00005,2025-01-20,BU_Fabrication,North America,Vendor_07,98.7,Fixed Price,30,41,45.76,1839.1,1831.02,-8.08,0,Paid
INV00006,2024-08-23,BU_Sales,EMEA,Vendor_25,66.8,Fixed Price,30,49,20.96,1043.46,1097.16,53.7,0,Paid
INV00007,2025-02-02,BU_IT,North America,Vendor_05,71.5,Fixed Price,30,58,56.18,3357.26,3363.78,6.52,0,Paid
INV00008,2024-09-10,BU_Logistics,LATAM,Vendor_25,66.8,Fixed Price,45,47,22.25,1093.15,1152.36,59.21,1,Pending
INV00009,2025-02-06,BU_R&D,North America,Vendor_18,79.7,Time & Materials,45,51,19.06,976.03,1002.16,26.13,7,Pending
INV00010,2025-06-22,BU_Logistics,EMEA,Vendor_16,66.6,Fixed Price,30,46,44.1,2042.4,2165.1,122.7,0,Paid
INV00011,2025-06-24,BU_IT,North America,Vendor_21,97.0,Time & Materials,45,46,21.0,962.54,1013.42,50.88,0,Paid
INV00012,2024-08-17,BU_R&D,EMEA,Vendor_05,71.5,Fixed Price,60,45,30.35,1431.61,1543.06,111.45,0,Paid
INV00013,2025-01-09,BU_Logistics,APAC,Vendor_26,76.7,Time & Materials,45,52,53.96,2830.43,3034.2,203.77,0,Paid
INV00014,2024-10-11,BU_Logistics,APAC,Vendor_35,87.3,Fixed Price,30,55,35.56,2020.23,2051.63,31.4,0,Paid
INV00015,2025-02-21,BU_R&D,North America,Vendor_09,68.0,Fixed Price,15,43,28.6,1246.55,1341.63,95.07,4,Pending
INV00016,2024-09-26,BU_Logistics,APAC,Vendor_44,70.5,Fixed Price,15,54,24.61,1369.55,1432.47,62.92,0,Paid
