Age,Nationality,Gender,Income,Booking_Channel,Month,Occupancy_Rate,Travel_Frequency,Spending
54,India,Male,24385.134024080126,Traditional,6,0.8058084142442693,2,270.5653456505464
48,USA,Male,26991.684383779313,Traditional,4,0.820069072307566,2,222.38265842611656
56,India,Male,23442.960577841353,Digital,6,0.889467996875354,5,418.5719301546377
65,USA,Female,16141.186679251028,Digital,4,0.8236106738438235,3,232.39017361191839
47,Others,Female,23692.604573318742,Traditional,7,0.8745550532859938,1,0.0
47,Others,Male,29514.876939924965,Traditional,9,0.7761591607229353,4,23.22593727117051
65,USA,Female,42740.69997038889,Digital,3,0.8582606706756838,2,332.36273560301385
57,Others,Male,33188.62999829929,Digital,3,0.7809400954755036,1,242.2898574220466
45,India,Male,38856.67723062345,Traditional,2,0.754149159926219,2,516.2488947923716
55,India,Male,25313.733638565587,Traditional,1,0.7520361620894382,4,470.57373609552207
45,USA,Female,50276.70061497015,Digital,1,0.6679022370728267,2,554.5915320970495
45,India,Male,16759.261975422698,Digital,3,0.8427041311470079,6,374.5763871767697
52,Germany,Male,14039.980781555114,Traditional,7,0.7354902481829996,6,25.304803194582618
30,Germany,Male,13601.018577015024,Digital,11,0.8704072617306859,4,166.6006310625178
32,USA,Female,56697.93887690726,Digital,9,0.791288974883973,4,369.57266806615064
44,USA,Male,52937.08252507566,Digital,2,0.7222567625932621,3,480.97596240982347
39,India,Female,42155.385562938915,Digital,7,0.7441134918479763,2,316.99112169152033
53,India,Male,56468.03702664285,Traditional,1,0.8095317471157166,3,638.0942362770633
40,USA,Female,21286.401421583992,Digital,2,0.7060021263728058,5,639.7459692844446
35,India,Male,39330.77884447297,Traditional,6,0.8294972503477182,1,246.57772393061563
64,Others,Male,20690.14514228316,Digital,11,0.7241833855970276,5,204.31624694818552
47,Others,Female,33638.98872466212,Digital,5,0.7630511834067739,5,346.157999209649
50,India,Female,31190.005683760974,Digital,8,0.8099360167687446,3,317.9634802988988
35,Others,Male,18170.025336351846,Traditional,12,0.82338053450866,4,213.4980790887757
44,India,Female,43300.49593497684,Traditional,11,0.8398859898130469,2,208.08025343285274
51,India,Male,51202.80996772624,Digital,2,0.7346726993243458,4,574.4828732961174
38,USA,Male,23654.11821999997,Traditional,1,0.7845773603493913,1,486.97200871195184
53,UK,Male,21363.99194287123,Traditional,7,0.8546499750992063,1,48.516286658278034
43,Others,Female,12974.999677507476,Traditional,6,0.7845894016991936,3,0.0
47,UK,Male,6316.809231722039,Digital,8,0.8147137225602231,4,121.30687353437467
43,India,Female,36522.90670982533,Traditional,11,0.8081219629222035,1,181.00657595662474
68,UK,Male,29865.303817022912,Digital,8,0.865061857564558,3,261.33613221178285
49,USA,Female,37665.450189525,Digital,2,0.7767045402912189,4,712.5729019131946
39,Others,Female,8310.035344776476,Traditional,8,0.7305025535648483,1,62.57108206264413
58,India,Male,27723.629887959083,Digital,6,0.7516064054932051,1,314.83832583512867
37,India,Female,10897.527722949168,Digital,9,0.8094421989991761,4,309.56126467116184
52,UK,Male,43688.95284545676,Digital,12,0.7215229626834971,5,524.236808779807
30,UK,Male,12797.085247542438,Traditional,7,0.7727793007466264,5,68.59034064488858
36,USA,Male,61893.28137748567,Traditional,2,0.8037708196487099,2,479.48115436482215
51,UK,Male,35345.79892044145,Digital,8,0.7616703947678296,6,302.1810686237143
57,USA,Male,21060.82443410126,Traditional,9,0.8163426623876667,2,169.69542030503965
51,Germany,Female,12501.545108933286,Digital,7,0.8362205881174143,3,84.49905505689009
48,Others,Male,26243.80153649457,Digital,4,0.8227454299976338,9,324.45631075222605
46,Others,Female,14441.163462675046,Traditional,9,0.7226247519973886,3,0.0
35,UK,Female,23184.57164377548,Digital,4,0.8039591093784814,2,118.20389640466776
42,India,Male,25953.229006550893,Digital,12,0.8078721153419375,5,574.2661435396254
45,USA,Female,13560.08596227831,Digital,4,0.7809534940893754,2,290.1223270714798
60,Germany,Male,7221.124664323258,Traditional,9,0.8156655506428186,1,19.35367519628762
53,India,Female,37004.95983937955,Digital,8,0.8138712287872804,2,348.7309097040846
32,India,Female,24951.425528114032,Traditional,4,0.7954562381568517,5,295.20398810060465
53,India,Female,25057.29294452066,Traditional,8,0.749786416099334,2,289.78971136562313
46,USA,Male,46788.701305181974,Digital,8,0.7986689523849935,4,520.0477569155516
43,UK,Female,39605.41531675627,Traditional,7,0.8933465463837207,3,99.59115959033299
56,USA,Male,28830.604190725382,Digital,10,0.7803846485492154,4,411.272041179577
60,Germany,Female,18577.392186041365,Digital,6,0.8523652729088004,5,184.1128224804974
59,India,Female,42426.84699402539,Traditional,8,0.8019428510283811,2,151.27766514467191
41,USA,Female,16764.13938005309,Traditional,7,0.7599635512331822,2,216.7778406977049
46,India,Female,36939.68164243307,Digital,5,0.785170165089031,6,445.25318270491744
53,USA,Male,43538.81395305933,Digital,12,0.7991564813145949,3,546.660794415356
59,India,Male,46424.38840553873,Digital,4,0.8327605733139453,6,499.38256023930523
45,Germany,Female,8363.427823278884,Digital,12,0.9190022724409665,4,295.7251684106679
48,USA,Female,22579.269221416624,Digital,2,0.8027332303007138,4,631.9403177730429
38,Others,Male,14198.170163892617,Digital,11,0.7384570384354222,4,96.53223044078833
38,USA,Male,34731.71707887313,Traditional,8,0.7172711299360909,1,177.0457121482156
58,USA,Male,42017.32860430454,Digital,9,0.7789107715335868,2,249.61287424986037
63,Germany,Male,46553.394597144776,Digital,4,0.7435956050008357,4,249.6318297029655
49,India,Female,25796.197283244797,Traditional,4,0.8278953148769632,1,110.11482461994208
60,USA,Female,25762.593614779224,Traditional,5,0.8282627861753208,1,201.59059670950947
53,India,Male,58706.2290891141,Digital,2,0.7927012283846157,4,608.6383682622553
43,India,Male,38321.00956475465,Digital,7,0.8328693218949803,3,436.5109693884714
53,Others,Male,41515.650499390795,Traditional,5,0.8032379673884602,2,17.313643781333553
65,India,Male,38170.9147120232,Digital,6,0.8933786897684178,3,312.56362650230017
49,Germany,Male,12350.374810739888,Digital,4,0.8313062473177517,6,207.8269219173396
65,Others,Male,11309.923697352919,Traditional,8,0.8447808538074135,1,105.23218446320136
23,India,Female,15210.009100531457,Digital,8,0.7275936294589881,3,273.79839671383706
58,Others,Female,30669.560203662983,Digital,12,0.7414382276385382,8,575.0738217013385
50,India,Female,59859.98433134642,Digital,5,0.8239419213052237,5,497.07069228997943
47,Others,Male,55530.13196484382,Digital,12,0.7225388245896835,2,385.52099804822916
50,USA,Male,50363.28791590166,Digital,6,0.7687762078562449,2,345.29527737044265
30,UK,Male,39395.98902734484,Traditional,3,0.8589706306544195,4,116.2005929360421
47,India,Female,24722.200924756602,Digital,1,0.767707210014727,5,630.630017383735
53,India,Male,18532.054728777606,Digital,9,0.7395133646856445,2,327.16647490056
64,UK,Male,33692.80749821005,Digital,9,0.8333771655652908,3,174.49846274826575
44,Germany,Female,27142.07473501322,Traditional,3,0.9036766123020423,2,0.0
41,USA,Male,34863.206437948065,Digital,4,0.7595677421568732,5,388.0217090034483
44,USA,Female,40100.77133613129,Digital,7,0.8612012899071418,4,473.353673081246
59,Germany,Female,25889.499511875954,Traditional,2,0.7533412516717731,1,219.64795321429955
53,UK,Male,41852.56774405323,Digital,12,0.7943766109446494,6,602.2910266794555
44,Others,Female,42086.94145793263,Digital,3,0.7965433530149427,3,308.8429174916288
55,Germany,Male,28914.83823773615,Digital,6,0.7609009129959017,3,217.08648849454116
50,Others,Female,33620.841496230976,Digital,11,0.843769765577407,3,257.37390221413204
59,Germany,Male,28482.105054142863,Digital,8,0.7230139544737948,4,185.4686765501719
42,India,Female,26235.80191047959,Traditional,1,0.809752380507954,2,460.63324713413454
46,USA,Male,48230.52727744002,Digital,4,0.8537082289096465,1,287.6521777863601
46,Germany,Female,10968.16720106634,Digital,1,0.8396081734622103,3,294.56838453982976
35,UK,Female,37307.355185337125,Digital,2,0.8245607530392829,4,554.9593017141375
52,USA,Female,18182.29574251427,Digital,8,0.879264969660067,3,303.5442301941218
52,India,Male,38115.13595961698,Digital,6,0.7890191316459658,7,481.1780031428049
50,Others,Male,14435.172191665495,Traditional,9,0.7237636925691638,2,50.12341603360183
47,India,Female,43571.54591428636,Digital,2,0.8067603442785977,5,613.5690646061594
35,India,Male,32483.98556872335,Traditional,3,0.7937118844722655,3,184.67022526301912
45,India,Female,14884.670383907598,Digital,9,0.694208971448007,7,343.70198593488664
46,USA,Male,40774.612481468386,Digital,9,0.7437449369745807,3,300.3189335774131
41,India,Female,24748.11787601767,Digital,6,0.7373686981841523,4,325.2699253281754
48,India,Male,51330.40104082913,Digital,3,0.7592733537243576,4,389.73390113851724
54,USA,Female,33061.60613019114,Digital,5,0.7824412867950654,5,464.3240979855409
68,Germany,Female,26841.661490593437,Digital,2,0.7843563019397805,2,437.91137177615354
51,India,Female,20469.2825788909,Traditional,7,0.7610597635698306,3,141.92643562857023
52,Others,Female,16404.875960477704,Digital,10,0.7373030729383164,2,239.38920755754305
49,Others,Male,17512.683729928496,Digital,11,0.8188725854379538,1,155.53767923178785
30,USA,Female,50706.85300667467,Digital,8,0.8058285930611341,3,414.2710155041409
49,UK,Male,50954.5095421391,Digital,6,0.8073335749328521,4,227.67909230084422
50,India,Male,22089.976492332942,Digital,8,0.8889505609667115,3,234.19877721786355
74,Others,Female,37738.04713408126,Digital,2,0.8081437026769893,2,373.6733945999872
48,USA,Male,11165.974020935562,Digital,3,0.7816671113859751,4,286.0310243193366
53,UK,Male,12123.552163183502,Traditional,7,0.7947097003789415,1,0.0
49,UK,Male,13637.938340368575,Traditional,10,0.8049409610589793,2,29.7108553273307
38,India,Female,16801.2868956266,Digital,12,0.8307896674105683,6,515.0860655594105
61,USA,Male,14968.015645466585,Digital,1,0.797763978657868,8,558.5489682361876
57,UK,Male,27078.611618068124,Traditional,7,0.7028539549742108,2,53.936122563656234
57,Germany,Female,19790.675098670454,Digital,6,0.7781625938375387,5,327.50864081190207
40,India,Female,39941.36596899793,Digital,8,0.8000746587681727,4,296.2793399355644
64,UK,Male,31108.49907729756,Digital,7,0.8652100782825825,5,274.30979789360896
